Tiempo [h];Tiempo [s];Dato;Altura de Vela [cm];Altura Vela [mm];Ancho de Vela [mm];Seccion de la Vela [mm^2];Altura de llama [cm];Altura de llama [mm];Temperatura
0;0;0;16,973;169,73;12,93794153;81,29148412;3,022;30,22;82,97
0,001;5;1;16,96621216;169,6621216;12,94228723;81,31878898;3,022;30,22;82,48
0,003;10;2;16,95942703;169,5942703;12,9466312;81,34608291;4,277;42,767;81,99
0,004;15;3;16,95264462;169,5264462;12,95097342;81,37336593;3,572;35,716;81,5
0,006;20;4;16,94586491;169,4586491;12,95531391;81,40063804;3,022;30,22;81,5
0,007;25;5;16,93908792;169,3908792;12,95965267;81,42789924;3,273;32,733;81,5
0,008;30;6;16,93231364;169,3231364;12,96398969;81,45514954;3,266;32,662;83,46
0,01;35;7;16,92554207;169,2554207;12,96832497;81,48238894;4,48;44,801;83,95
0,011;40;8;16,91877321;169,1877321;12,97265853;81,50961745;3,022;30,22;86,88
0,013;45;9;16,91200705;169,1200705;12,97699034;81,53683507;3,273;32,733;85,41
0,014;50;10;16,9052436;169,052436;12,98132043;81,5640418;3,253;32,526;85,41
0,015;55;11;16,89848286;168,9848286;12,98564879;81,59123765;3,022;30,22;84,43
0,017;60;12;16,89172482;168,9172482;12,98997541;81,61842263;4,735;47,354;84,43
0,018;65;13;16,88496948;168,8496948;12,9943003;81,64559673;3,418;34,176;83,46
0,019;70;14;16,87821684;168,7821684;12,99862347;81,67275997;3,271;32,711;83,46
0,021;75;15;16,8714669;168,714669;13,0029449;81,69991235;3,6;36,002;82,48
0,022;80;16;16,86471967;168,6471967;13,00726461;81,72705386;4,79;47,903;82,48
0,024;85;17;16,85797513;168,5797513;13,01158259;81,75418452;3,022;30,22;82,48
0,025;90;18;16,85123329;168,5123329;13,01589884;81,78130433;3,273;32,733;81,5
0,026;95;19;16,84449414;168,4449414;13,02021336;81,8084133;4,133;41,325;81,99
0,028;100;20;16,83775769;168,3775769;13,02452616;81,83551142;3,022;30,22;81,5
0,029;105;21;16,83102393;168,3102393;13,02883724;81,86259871;4,782;47,815;81,5
0,031;110;22;16,82429287;168,2429287;13,03314659;81,88967516;3,273;32,733;81,5
0,032;115;23;16,8175645;168,175645;13,03745422;81,91674079;3,383;33,832;81,5
0,033;120;24;16,81083882;168,1083882;13,04176012;81,94379559;3,022;30,22;82,48
0,035;125;25;16,80411583;168,0411583;13,04606431;81,97083957;4,749;47,493;83,95
0,036;130;26;16,79739553;167,9739553;13,05036677;81,99787274;3,719;37,189;82,97
0,038;135;27;16,79067791;167,9067791;13,05466751;82,0248951;3,273;32,733;83,46
0,039;140;28;16,78396298;167,8396298;13,05896653;82,05190664;3,022;30,22;81,5
0,04;145;29;16,77725074;167,7725074;13,06326383;82,07890739;4,797;47,968;81,5
0,042;150;30;16,77054118;167,7054118;13,06755942;82,10589734;4,202;42,015;82,97
0,043;155;31;16,76383431;167,6383431;13,07185328;82,13287649;3,581;35,812;82,48
0,044;160;32;16,75713011;167,5713011;13,07614543;82,15984486;3,022;30,22;82,97
0,046;165;33;16,7504286;167,504286;13,08043586;82,18680244;4,55;45,499;81,99
0,047;170;34;16,74372977;167,4372977;13,08472458;82,21374924;3,581;35,812;81,99
0,049;175;35;16,73703362;167,3703362;13,08901158;82,24068526;4,099;40,99;81,99
0,05;180;36;16,73034014;167,3034014;13,09329687;82,26761051;3,273;32,733;81,99
0,051;185;37;16,72364935;167,2364935;13,09758044;82,29452499;4,807;48,07;81,5
0,053;190;38;16,71696122;167,1696122;13,1018623;82,32142871;3,851;38,515;81,99
0,054;195;39;16,71027578;167,1027578;13,10614245;82,34832167;4,772;47,724;82,48
0,056;200;40;16,703593;167,03593;13,11042088;82,37520387;3,452;34,519;82,48
0,057;205;41;16,6969129;166,969129;13,11469761;82,40207532;3,273;32,733;81,5
0,058;210;42;16,69023547;166,9023547;13,11897262;82,42893603;4,712;47,121;82,97
0,06;215;43;16,68356071;166,8356071;13,12324593;82,45578599;4,772;47,724;82,97
0,061;220;44;16,67688862;166,7688862;13,12751752;82,48262522;3,304;33,042;83,46
0,063;225;45;16,6702192;166,702192;13,13178741;82,50945371;3,273;32,733;82,48
0,064;230;46;16,66355245;166,6355245;13,13605559;82,53627148;4,712;47,121;82,48
0,065;235;47;16,65688836;166,5688836;13,14032206;82,56307852;3,304;33,042;83,46
0,067;240;48;16,65022694;166,5022694;13,14458683;82,58987483;3,273;32,733;83,46
